LastB,LastF,Current
"[0.5692228412409781, 0.469222841240978, 0.8692228412409779]","[0.4, 0.3, 0.7]","[0.5269171309307336, 0.4269171309307335, 0.8269171309307335]"
"[0.5269171309307336, 0.4269171309307335, 0.8269171309307335]","[0.4, 0.3, 0.7]","[0.4951878481980502, 0.39518784819805014, 0.7951878481980501]"
"[0.4951878481980502, 0.39518784819805014, 0.7951878481980501]","[0.4, 0.3, 0.7]","[0.47139088614853764, 0.3713908861485376, 0.7713908861485377]"
"[0.47139088614853764, 0.3713908861485376, 0.7713908861485377]","[0.4, 0.3, 0.7]","[0.4535431646114032, 0.3535431646114032, 0.7535431646114032]"
"[0.47139088614853764, 0.3713908861485376, 0.7713908861485377]","[0.4535431646114032, 0.3535431646114032, 0.7535431646114032]","[0.46692895576425403, 0.366928955764254, 0.766928955764254]"
"[0.46692895576425403, 0.366928955764254, 0.766928955764254]","[0.4535431646114032, 0.3535431646114032, 0.7535431646114032]","[0.46358250797604134, 0.3635825079760413, 0.7635825079760413]"
"[0.46692895576425403, 0.366928955764254, 0.766928955764254]","[0.46358250797604134, 0.3635825079760413, 0.7635825079760413]","[0.4660923438172009, 0.3660923438172008, 0.7660923438172008]"
"[0.4660923438172009, 0.3660923438172008, 0.7660923438172008]","[0.46358250797604134, 0.3635825079760413, 0.7635825079760413]","[0.465464884856911, 0.3654648848569109, 0.7654648848569109]"
"[0.4660923438172009, 0.3660923438172008, 0.7660923438172008]","[0.465464884856911, 0.3654648848569109, 0.7654648848569109]","[0.4659354790771284, 0.3659354790771283, 0.7659354790771283]"
"[0.4659354790771284, 0.3659354790771283, 0.7659354790771283]","[0.465464884856911, 0.3654648848569109, 0.7654648848569109]","[0.46581783052207404, 0.36581783052207395, 0.765817830522074]"
"[0.4659354790771284, 0.3659354790771283, 0.7659354790771283]","[0.46581783052207404, 0.36581783052207395, 0.765817830522074]","[0.4659060669383648, 0.3659060669383647, 0.7659060669383647]"
"[0.4659060669383648, 0.3659060669383647, 0.7659060669383647]","[0.46581783052207404, 0.36581783052207395, 0.765817830522074]","[0.46588400783429207, 0.365884007834292, 0.765884007834292]"
"[0.4659060669383648, 0.3659060669383647, 0.7659060669383647]","[0.46588400783429207, 0.365884007834292, 0.765884007834292]","[0.4659005521623466, 0.3659005521623465, 0.7659005521623465]"
"[0.4659005521623466, 0.3659005521623465, 0.7659005521623465]","[0.46588400783429207, 0.365884007834292, 0.765884007834292]","[0.465896416080333, 0.3658964160803329, 0.765896416080333]"
"[0.4659005521623466, 0.3659005521623465, 0.7659005521623465]","[0.465896416080333, 0.3658964160803329, 0.765896416080333]","[0.4658995181418432, 0.3658995181418431, 0.7658995181418432]"
"[0.4658995181418432, 0.3658995181418431, 0.7658995181418432]","[0.465896416080333, 0.3658964160803329, 0.765896416080333]","[0.46589874262646563, 0.36589874262646555, 0.7658987426264656]"
"[0.46589874262646563, 0.36589874262646555, 0.7658987426264656]","[0.465896416080333, 0.3658964160803329, 0.765896416080333]","[0.4658981609899325, 0.3658981609899324, 0.7658981609899325]"
"[0.46589874262646563, 0.36589874262646555, 0.7658987426264656]","[0.4658981609899325, 0.3658981609899324, 0.7658981609899325]","[0.46589859721733234, 0.36589859721733226, 0.7658985972173323]"
"[0.46589859721733234, 0.36589859721733226, 0.7658985972173323]","[0.4658981609899325, 0.3658981609899324, 0.7658981609899325]","[0.46589848816048235, 0.36589848816048226, 0.7658984881604823]"
